iterasyon,izin_verilen_butce_ust_sinir,gonderilen_gercek_mesaj_sayisi,amac_fonksiyonu,cozum_suresi_saniye,cozum_durumu,ag_kurulum_saniye
taban_kisitsiz,,16,4095.0,516.54408,integer optimal solution,0.011078
epsilon_<=14,14.0,14,3672.0,101.653692,integer optimal solution,0.011078
epsilon_<=12,12.0,12,3240.0,24.893062,integer optimal solution,0.011078
epsilon_<=11,11.0,11,2997.0,19.538181,integer optimal solution,0.011078
epsilon_<=9,9.0,9,2511.0,4.16402,integer optimal solution,0.011078
epsilon_<=8,8.0,8,2250.0,0.477036,integer optimal solution,0.011078
epsilon_<=6,6.0,6,1728.0,0.200155,integer optimal solution,0.011078
epsilon_<=4,4.0,4,1152.0,0.312406,integer optimal solution,0.011078
epsilon_<=3,3.0,3,864.0,0.356926,integer optimal solution,0.011078
epsilon_<=1,1.0,1,288.0,0.160136,integer optimal solution,0.011078
epsilon_<=0,0.0,0,0.0,0.0229,integer optimal solution,0.011078
