Network Type,,,,,instances,,,,
,1,2,3,4,5,6,7,8,9
Erdos,1.48,1.48,2.985,14.98,14.98,29.98,44.98,59.98,74.98
Barabasi,1.22,1.22,1.27,1.18,1.18,1.18,1.21,1.21,1.21
